"sitename","lat","long","siteid","datasetid","age","depth","Salix","Populus","Picea"
"Tukuto Lake",68.49686,-157.0356,10538,16238,5203,114,0.0298507462686567,0,0.0119331742243437
"Tukuto Lake",68.49686,-157.0356,10538,16238,5388,119,0.0395778364116095,0,0.00355871886120996
"Tukuto Lake",68.49686,-157.0356,10538,16238,5586,124,0.0449438202247191,0,0.0122699386503068
"Tukuto Lake",68.49686,-157.0356,10538,16238,6840,134,0.045822102425876,0,0.0237154150197628
"Tukuto Lake",68.49686,-157.0356,10538,16238,7599,139,0.100313479623824,0,0.0515463917525773
"Tukuto Lake",68.49686,-157.0356,10538,16238,8254,144,0.0821529745042493,0,0.00836820083682008
"Tukuto Lake",68.49686,-157.0356,10538,16238,8753,149,0.151724137931034,0,0.00930232558139535
"Tukuto Lake",68.49686,-157.0356,10538,16238,9234,154,0.0828729281767956,0.0386740331491713,0.00552486187845304
"Tukuto Lake",68.49686,-157.0356,10538,16238,9698,159,0.0985576923076923,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,10168,164,0.0947630922693267,0.00588235294117647,0.0117647058823529
"Tukuto Lake",68.49686,-157.0356,10538,16238,10629,169,0.110410094637224,0.0111731843575419,0.00558659217877095
"Tukuto Lake",68.49686,-157.0356,10538,16238,11104,174,0.112299465240642,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,11577,179,0.162866449511401,0.0225563909774436,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,12037,184,0.133928571428571,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,12512,189,0.158064516129032,0.00606060606060606,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,12985,194,0.10803324099723,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,13462,199,0.127450980392157,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,13934,204,0.172106824925816,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,14391,209,0.267123287671233,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,14836,214,0.200617283950617,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,15108,219,0.213523131672598,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,15333,224,0.325581395348837,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,15771,234,0.278637770897833,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,15999,239,0.369774919614148,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,16306,244,0.241042345276873,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,17561,249,0.182481751824818,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,19110,254,0.0533333333333333,0,0.181818181818182
"Tukuto Lake",68.49686,-157.0356,10538,16238,20649,259,0.0433212996389892,0,0.0476190476190476
"Tukuto Lake",68.49686,-157.0356,10538,16238,22186,264,0.0510948905109489,0,0.0869565217391304
"Tukuto Lake",68.49686,-157.0356,10538,16238,23743,269,0.0753623188405797,0,0.0666666666666667
"Tukuto Lake",68.49686,-157.0356,10538,16238,25290,274,0.089171974522293,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,26823,279,0.0742049469964664,0,0.0384615384615385
"Tukuto Lake",68.49686,-157.0356,10538,16238,27471,284,0.0363636363636364,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,27908,289,0.180272108843537,0,0.0175438596491228
"Tukuto Lake",68.49686,-157.0356,10538,16238,28337,294,0.0955882352941176,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,31333,329,0.104026845637584,0,0.0277777777777778
"Tukuto Lake",68.49686,-157.0356,10538,16238,33917,359,0.151815181518152,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,34355,364,0.169014084507042,0,0.0192307692307692
"Tukuto Lake",68.49686,-157.0356,10538,16238,34775,369,0.0980392156862745,0,0.0238095238095238
"Tukuto Lake",68.49686,-157.0356,10538,16238,35188,379,0.0911949685534591,0,0
"Tukuto Lake",68.49686,-157.0356,10538,16238,35596,384,0.0940438871473354,0,0
"Kaiyak Lake",68.15,-161.41667,1396,1432,0,0,0.0140845070422535,0.0164473684210526,0.0427631578947368
"Kaiyak Lake",68.15,-161.41667,1396,1432,1047,5,0.0219298245614035,0.0113314447592068,0.0509915014164306
"Kaiyak Lake",68.15,-161.41667,1396,1432,2093,10,0.0447761194029851,0.012012012012012,0.0540540540540541
"Kaiyak Lake",68.15,-161.41667,1396,1432,3578,20,0.017353579175705,0.00302114803625378,0.0574018126888218
"Kaiyak Lake",68.15,-161.41667,1396,1432,4455,30,0.0253807106598985,0.0183823529411765,0.0220588235294118
"Kaiyak Lake",68.15,-161.41667,1396,1432,5331,40,0.0323325635103926,0.015625,0.03125
"Kaiyak Lake",68.15,-161.41667,1396,1432,6207,50,0.0248138957816377,0.00940438871473354,0.0188087774294671
