"sitename","lat","long","siteid","datasetid","depth","Salix","Populus","Picea","calibrated_age","age"
"Tukuto Lake",68.49686,-157.0356,10538,16238,19,0.0612244897959184,0,0.0229885057471264,1235,1170
"Tukuto Lake",68.49686,-157.0356,10538,16238,21,0.0650406504065041,0,0.0223048327137546,1338,1287
"Tukuto Lake",68.49686,-157.0356,10538,16238,23,0.0560224089635854,0,0.0179856115107914,1437.5,1393
"Tukuto Lake",68.49686,-157.0356,10538,16238,25,0.0304568527918782,0,0.00328947368421053,1540,1498
"Tukuto Lake",68.49686,-157.0356,10538,16238,27,0.0415335463258786,0,0,1639.5,1605
"Tukuto Lake",68.49686,-157.0356,10538,16238,31,0.0522388059701493,0,0,1842.5,1820
"Tukuto Lake",68.49686,-157.0356,10538,16238,34,0.0556701030927835,0,0.0165289256198347,1996.5,1982
"Tukuto Lake",68.49686,-157.0356,10538,16238,39,0.0626959247648903,0,0.0199203187250996,2234,2183
"Tukuto Lake",68.49686,-157.0356,10538,16238,44,0.0430622009569378,0,0.0425531914893617,2352,2333
"Tukuto Lake",68.49686,-157.0356,10538,16238,49,0.0691964285714286,0,0.0321637426900585,2472,2479
"Tukuto Lake",68.49686,-157.0356,10538,16238,54,0.0593220338983051,0,0.0252707581227437,2685.5,2637
"Tukuto Lake",68.49686,-157.0356,10538,16238,59,0.0784883720930233,0,0.0330578512396694,2920.5,2853
"Tukuto Lake",68.49686,-157.0356,10538,16238,64,0.0561224489795918,0,0.0648464163822526,3129.5,3069
"Tukuto Lake",68.49686,-157.0356,10538,16238,69,0.1,0,0.0259259259259259,3344,3290
"Tukuto Lake",68.49686,-157.0356,10538,16238,74,0.0728862973760933,0,0.00823045267489712,3544,3510
"Tukuto Lake",68.49686,-157.0356,10538,16238,79,0.0794701986754967,0,0.0357142857142857,3733,3729
"Tukuto Lake",68.49686,-157.0356,10538,16238,84,0.0911949685534591,0,0.026431718061674,3938,3955
"Tukuto Lake",68.49686,-157.0356,10538,16238,89,0.0451807228915663,0,0.0272373540856031,4125,4179
"Tukuto Lake",68.49686,-157.0356,10538,16238,94,0.0185567010309278,0.00284900284900285,0.0199430199430199,4332.5,4397
"Tukuto Lake",68.49686,-157.0356,10538,16238,99,0.0776699029126214,0,0.00309597523219814,4530.5,4612
"Tukuto Lake",68.49686,-157.0356,10538,16238,104,0.0569948186528497,0,0.0195439739413681,4819.5,4828
"Tukuto Lake",68.49686,-157.0356,10538,16238,109,0.0450928381962865,0,0.0323624595469256,4952,5016
"Tukuto Lake",68.49686,-157.0356,10538,16238,114,0.0298507462686567,0,0.0119331742243437,5038,5203
"Tukuto Lake",68.49686,-157.0356,10538,16238,119,0.0395778364116095,0,0.00355871886120996,5129,5388
"Tukuto Lake",68.49686,-157.0356,10538,16238,124,0.0449438202247191,0,0.0122699386503068,5396.5,5586
"Tukuto Lake",68.49686,-157.0356,10538,16238,134,0.045822102425876,0,0.0237154150197628,6926.5,6840
"Tukuto Lake",68.49686,-157.0356,10538,16238,139,0.100313479623824,0,0.0515463917525773,7696,7599
"Tukuto Lake",68.49686,-157.0356,10538,16238,144,0.0821529745042493,0,0.00836820083682008,8405,8254
"Tukuto Lake",68.49686,-157.0356,10538,16238,149,0.151724137931034,0,0.00930232558139535,8980,8753
"Tukuto Lake",68.49686,-157.0356,10538,16238,154,0.0828729281767956,0.0386740331491713,0.00552486187845304,9477,9234
"Tukuto Lake",68.49686,-157.0356,10538,16238,159,0.0985576923076923,0,0,9917,9698
"Tukuto Lake",68.49686,-157.0356,10538,16238,164,0.0947630922693267,0.00588235294117647,0.0117647058823529,10399.5,10168
"Tukuto Lake",68.49686,-157.0356,10538,16238,169,0.110410094637224,0.0111731843575419,0.00558659217877095,10927.5,10629
"Tukuto Lake",68.49686,-157.0356,10538,16238,174,0.112299465240642,0,0,11372,11104
"Tukuto Lake",68.49686,-157.0356,10538,16238,179,0.162866449511401,0.0225563909774436,0,11813.5,11577
"Tukuto Lake",68.49686,-157.0356,10538,16238,184,0.133928571428571,0,0,12285,12037
"Tukuto Lake",68.49686,-157.0356,10538,16238,189,0.158064516129032,0.00606060606060606,0,12763,12512
"Tukuto Lake",68.49686,-157.0356,10538,16238,194,0.10803324099723,0,0,13286.5,12985
"Tukuto Lake",68.49686,-157.0356,10538,16238,199,0.127450980392157,0,0,13771,13462
"Tukuto Lake",68.49686,-157.0356,10538,16238,204,0.172106824925816,0,0,14269.5,13934
"Tukuto Lake",68.49686,-157.0356,10538,16238,209,0.267123287671233,0,0,14824.5,14391
"Tukuto Lake",68.49686,-157.0356,10538,16238,214,0.200617283950617,0,0,15325.5,14836
"Tukuto Lake",68.49686,-157.0356,10538,16238,219,0.213523131672598,0,0,15441.5,15108
"Tukuto Lake",68.49686,-157.0356,10538,16238,224,0.325581395348837,0,0,15533,15333
"Tukuto Lake",68.49686,-157.0356,10538,16238,234,0.278637770897833,0,0,15716.5,15771
"Tukuto Lake",68.49686,-157.0356,10538,16238,239,0.369774919614148,0,0,15818,15999
"Tukuto Lake",68.49686,-157.0356,10538,16238,244,0.241042345276873,0,0,17041.5,16306
"Tukuto Lake",68.49686,-157.0356,10538,16238,249,0.182481751824818,0,0,18638,17561
"Tukuto Lake",68.49686,-157.0356,10538,16238,254,0.0533333333333333,0,0.181818181818182,20218.5,19110
"Tukuto Lake",68.49686,-157.0356,10538,16238,259,0.0433212996389892,0,0.0476190476190476,21768,20649
"Tukuto Lake",68.49686,-157.0356,10538,16238,264,0.0510948905109489,0,0.0869565217391304,23342.5,22186
